Quad,Neuron,Layer,Flop,Error
7,5,3,167800,1.0000255549799903
7,5,4,167850,0.0007043249844770515
7,5,5,167900,0.00024901506343919574
7,6,2,201312,0.0002747264066927454
7,6,3,201384,0.01029682993001798
7,6,4,201456,0.0007282533398668355
7,6,5,201528,0.0009447267333905455
7,7,2,234878,0.0043341754769111035
7,7,3,234976,0.00016142948313025622
7,7,4,235074,0.010495177122533684
7,7,5,235172,0.00044727249355412245
8,2,2,265232,1.0000278888621235
8,2,3,265240,1.0000751682398943
8,2,4,265248,1.0003032159887058
8,2,5,265256,1.000161199892976
8,3,2,397854,0.0021455901236471404
8,3,3,397872,0.001053991225111276
8,3,4,397890,1.0000406252305907
8,3,5,397908,0.002240280345482024
8,5,2,663110,0.00022191576922381707
8,5,3,663160,0.0010944522028352379
8,5,4,663210,0.0007033580881969454
8,5,5,663260,0.10636474270921298
8,6,2,795744,0.00676929788170777
8,6,3,795816,1.0002313510292196
8,6,4,795888,8.522785729471864e-05
8,6,5,795960,0.00016109231733587938
8,7,2,928382,0.00015238562894847379
8,7,3,928480,0.0013887715451380972
8,7,4,928578,0.0002674917643432245
8,7,5,928676,0.029550921091677586
9,2,2,1054736,0.0026634193274509663
9,2,3,1054744,1.000000777633121
9,2,4,1054752,1.0009468880764232
9,2,5,1054760,1.0000299822796435
9,3,2,1582110,1.0002904291311663
9,3,3,1582128,0.0011777419876179494
9,3,4,1582146,1.0001423718045626
9,3,5,1582164,1.8918653603273494e-05
9,5,2,2636870,0.001853098050822739
9,5,3,2636920,0.0001235867440846339
9,5,4,2636970,6.18906274091184e-05
9,5,5,2637020,0.011965051700118086
9,6,2,3164256,1.0000015675258918
9,6,3,3164328,0.00025626996092858507
9,6,4,3164400,9.168114481863474e-05
9,6,5,3164472,1.000196458426122
9,7,2,3691646,0.0011089668947137094
9,7,3,3691744,0.00016901755150590872
9,7,4,3691842,0.024255520266177177
9,7,5,3691940,6.952193113411052e-05
10,2,2,4206608,1.0002387626299034
10,2,3,4206616,1.1597191888688457e-05
10,2,4,4206624,1.00019740972151
10,2,5,4206632,1.0002748491721785
10,3,2,6309918,1.0000025622668083
10,3,3,6309936,6.022896751389185e-05
10,3,4,6309954,1.000019659701252
10,3,5,6309972,1.0000000670679736
10,5,2,10516550,1.0012134447953616
10,5,3,10516600,0.001638741758829108
10,5,4,10516650,6.334672622916404e-05
10,5,5,10516700,6.516226565020225e-05
10,6,2,12619872,0.0019539567818006543
10,6,3,12619944,0.00012289419531118985
10,6,4,12620016,1.0001053179654078
10,6,5,12620088,6.439787561150661e-05
10,7,2,14723198,0.0020490512843895493
10,7,3,14723296,1.0000489167745807
10,7,4,14723394,1.000029420090325
10,7,5,14723492,0.00010873562196793707
