Quad,Neuron,Layer,Flop,Error
8,7,2,928382,0.0001665182628354775
8,7,3,928480,0.0001657136844643013
8,7,4,928578,0.00010044341653597852
8,7,5,928676,0.00010019530449612216
9,2,2,1054736,0.00014925800283762772
9,2,3,1054744,1.0000046321528164
9,2,4,1054752,1.000248742458308
9,2,5,1054760,1.0002215305245081
9,3,2,1582110,1.0006295276182402
9,3,3,1582128,0.0003272460138110543
9,3,4,1582146,1.0000089542305997
9,3,5,1582164,0.0005886319660392374
9,5,2,2636870,0.00025566824316282816
9,5,3,2636920,0.0001627651042539614
9,5,4,2636970,0.00015953540170002124
9,5,5,2637020,0.0001029717281165087
9,6,2,3164256,0.00016596692925966745
9,6,3,3164328,0.00015446391017972196
9,6,4,3164400,8.139870616228566e-05
9,6,5,3164472,0.00018152172115198866
9,7,2,3691646,0.0003170275298807925
9,7,3,3691744,6.09105329019546e-05
9,7,4,3691842,8.925651381908899e-05
9,7,5,3691940,4.873235586379012e-05
10,2,2,4206608,1.0002051789031106
10,2,3,4206616,1.0000101124833372
10,2,4,4206624,1.000469761801958
10,2,5,4206632,0.0004851677754001223
10,3,2,6309918,8.626005120308353e-05
10,3,3,6309936,0.00016232836954525312
10,3,4,6309954,0.00033190371920678005
10,3,5,6309972,0.0003037096824367155
10,5,2,10516550,0.00015389660628731762
10,5,3,10516600,7.13842941433138e-05
10,5,4,10516650,0.00011974938872141372
10,5,5,10516700,0.00014014298405592423
10,6,2,12619872,8.429706231607333e-05
10,6,3,12619944,9.083279944869187e-05
10,6,4,12620016,7.76224109933052e-05
10,6,5,12620088,0.0009114140228131789
10,7,2,14723198,7.495929795538297e-05
10,7,3,14723296,8.690797721757817e-05
10,7,4,14723394,8.486954020764979e-05
10,7,5,14723492,5.3005398743964827e-05
